City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hobart,-42.8794,147.3294,10.7,95,100,0.0,AU,1681242336
1,palafrugell,41.9174,3.1631,15.35,84,90,3.56,ES,1681242629
2,alofi,-19.0595,-169.9187,24.94,78,41,2.57,NU,1681242411
3,punta arenas,-53.15,-70.9167,8.06,53,40,8.23,CL,1681242354
4,nikolskoye,59.7035,30.7861,6.94,84,100,1.78,RU,1681242364
5,namatanai,-3.6667,152.4333,26.01,81,98,0.92,PG,1681242454
6,new norfolk,-42.7826,147.0587,10.5,75,24,0.15,AU,1681242359
7,rikitea,-23.1203,-134.9692,24.76,71,100,3.41,PF,1681242358
8,lata,40.1629,-8.3327,10.75,95,52,1.29,PT,1681242407
9,hambantota,6.1241,81.1185,25.58,83,64,4.61,LK,1681242631
10,vardo,70.3705,31.1107,0.99,75,75,6.69,NO,1681242370
11,novyy urengoy,66.0833,76.6333,-23.3,99,84,4.08,RU,1681242631
12,cape town,-33.9258,18.4232,16.23,62,0,5.36,ZA,1681242301
13,dikson,73.5069,80.5464,-23.18,98,94,7.73,RU,1681242355
14,talaya,61.3833,152.75,-26.71,100,89,0.82,RU,1681242632
15,busselton,-33.65,115.3333,16.03,82,1,3.12,AU,1681242357
16,saskylakh,71.9167,114.0833,-26.68,100,97,2.07,RU,1681242413
17,hermanus,-34.4187,19.2345,13.22,70,95,3.89,ZA,1681242354
18,namibe,-15.1961,12.1522,23.76,67,2,4.65,AO,1681242632
19,mar del plata,-38.0023,-57.5575,20.61,92,100,8.23,AR,1681242072
20,ushuaia,-54.8,-68.3,2.81,70,75,7.72,AR,1681242087
21,dakar,14.6937,-17.4441,22.49,83,20,5.99,SN,1681242213
22,vila velha,-20.3297,-40.2925,25.97,78,40,4.12,BR,1681242633
23,batemans bay,-35.7167,150.1833,13.39,81,83,1.8,AU,1681242633
24,jamestown,42.097,-79.2353,20.01,30,0,9.26,US,1681242237
25,victoria,22.2855,114.1577,24.0,91,77,2.35,HK,1681242401
26,cherskiy,68.75,161.3,-24.9,93,100,1.31,RU,1681242403
27,kahului,20.8947,-156.47,24.91,75,40,9.77,US,1681242634
28,butaritari,3.0707,172.7902,27.28,78,100,6.55,KI,1681242379
29,morro bay,35.3658,-120.8499,23.47,57,94,4.02,US,1681242635
30,mana,5.6592,-53.7767,27.94,71,98,3.84,GF,1681242635
31,albany,42.6001,-73.9662,20.85,26,100,1.34,US,1681242241
32,east london,-33.0153,27.9116,17.54,64,99,5.14,ZA,1681242398
33,saint-joseph,-21.3667,55.6167,23.59,81,6,0.99,RE,1681242635
34,saint-philippe,-21.3585,55.7679,23.77,80,10,2.4,RE,1681242366
35,hilo,19.7297,-155.09,25.53,86,100,3.09,US,1681242371
36,ahipara,-35.1667,173.1667,18.24,89,100,5.81,NZ,1681242636
37,luorong,24.4058,109.6086,21.11,95,100,1.09,CN,1681242636
38,atuona,-9.8,-139.0333,26.89,81,99,7.19,PF,1681242309
39,touros,-5.1989,-35.4608,27.09,71,92,4.43,BR,1681242636
40,thompson,55.7435,-97.8558,11.09,28,75,2.57,CA,1681242393
41,seara,41.1818,-7.8003,12.87,81,100,2.9,PT,1681242638
42,avarua,-21.2078,-159.775,27.03,61,52,2.06,CK,1681242369
43,ornskoldsvik,63.2909,18.7153,2.53,75,100,2.06,SE,1681242638
44,malko tarnovo,41.9833,27.5333,6.29,96,100,3.63,BG,1681242639
45,sola,-13.8833,167.55,28.15,76,89,5.21,VU,1681242454
46,ribeira grande,38.5167,-28.7,17.65,88,75,5.14,PT,1681242354
47,barrow,71.2906,-156.7887,-27.99,76,0,2.57,US,1681242365
48,pacific grove,36.6177,-121.9166,20.21,79,100,4.63,US,1681242420
49,port hardy,50.6996,-127.4199,6.1,65,40,3.09,CA,1681242406
50,ahuimanu,21.4447,-157.8378,26.03,78,100,7.2,US,1681242640
51,howick,-29.4779,30.2306,10.77,76,95,0.98,ZA,1681242640
52,sao filipe,14.8961,-24.4956,22.63,67,98,4.96,CV,1681242398
53,tirumullaivasal,11.2333,79.8333,26.32,76,3,2.85,IN,1681242641
54,arraial do cabo,-22.9661,-42.0278,25.98,65,75,6.69,BR,1681242378
55,port hedland,-20.3167,118.5667,25.03,78,100,0.51,AU,1681242457
56,airai,-8.9266,125.4092,15.59,92,27,1.12,TL,1681242419
57,cidreira,-30.1811,-50.2056,24.44,77,3,4.65,BR,1681242373
58,silver city,32.7701,-108.2803,23.98,22,0,4.47,US,1681242145
59,mundwa,27.0667,73.8167,27.11,27,10,3.45,IN,1681242642
60,port alfred,-33.5906,26.891,13.99,83,100,0.45,ZA,1681242369
61,kaitangata,-46.2817,169.8464,12.26,97,100,3.66,NZ,1681242403
62,vestmannaeyjar,63.4427,-20.2734,5.55,87,40,1.54,IS,1681242462
63,atherton,53.5237,-2.4935,9.68,91,100,4.92,GB,1681242642
64,alamo,20.9167,-97.6833,26.02,72,90,4.59,MX,1681242642
65,san onofre,9.7359,-75.5263,27.01,73,100,1.79,CO,1681242642
66,bluff,-46.6,168.3333,11.56,92,100,8.89,NZ,1681242368
67,isabela,6.7085,121.9711,26.0,83,0,1.86,PH,1681242643
68,san quintin,30.4833,-115.95,17.22,70,0,5.81,MX,1681242359
69,pangnirtung,66.1451,-65.7125,-10.0,57,20,2.06,CA,1681242353
70,port lincoln,-34.7333,135.8667,16.82,78,6,10.31,AU,1681242464
71,hasaki,35.7333,140.8333,17.38,80,100,13.31,JP,1681242360
72,yellowknife,62.456,-114.3525,-8.71,86,100,4.63,CA,1681242383
